Source,Target,Type,Id,Label,timeset,Weight,TYPE
317,1369,Directed,13587,NEXT_WORD,,1,NEXT_WORD
317,3131,Directed,13491,NEXT_WORD,,1,NEXT_WORD
317,891,Directed,13423,NEXT_WORD,,1,NEXT_WORD
317,859,Directed,13390,NEXT_WORD,,1,NEXT_WORD
317,1844,Directed,13311,NEXT_WORD,,1,NEXT_WORD
317,1485,Directed,13299,NEXT_WORD,,1,NEXT_WORD
317,3008,Directed,12671,NEXT_WORD,,1,NEXT_WORD
317,1026,Directed,12588,NEXT_WORD,,1,NEXT_WORD
317,2938,Directed,12377,NEXT_WORD,,1,NEXT_WORD
317,1522,Directed,11873,NEXT_WORD,,1,NEXT_WORD
317,662,Directed,11659,NEXT_WORD,,1,NEXT_WORD
317,569,Directed,11618,NEXT_WORD,,1,NEXT_WORD
317,448,Directed,10637,NEXT_WORD,,1,NEXT_WORD
317,1180,Directed,9937,NEXT_WORD,,1,NEXT_WORD
317,1192,Directed,9761,NEXT_WORD,,1,NEXT_WORD
317,2593,Directed,9664,NEXT_WORD,,1,NEXT_WORD
317,342,Directed,9596,NEXT_WORD,,1,NEXT_WORD
317,1301,Directed,9583,NEXT_WORD,,1,NEXT_WORD
317,2014,Directed,9555,NEXT_WORD,,1,NEXT_WORD
317,672,Directed,9550,NEXT_WORD,,1,NEXT_WORD
317,1820,Directed,9480,NEXT_WORD,,1,NEXT_WORD
317,618,Directed,9442,NEXT_WORD,,1,NEXT_WORD
317,610,Directed,9366,NEXT_WORD,,1,NEXT_WORD
317,1397,Directed,9348,NEXT_WORD,,1,NEXT_WORD
317,578,Directed,9301,NEXT_WORD,,1,NEXT_WORD
317,680,Directed,9050,NEXT_WORD,,1,NEXT_WORD
317,2398,Directed,8445,NEXT_WORD,,1,NEXT_WORD
317,1337,Directed,8305,NEXT_WORD,,1,NEXT_WORD
317,2357,Directed,8201,NEXT_WORD,,1,NEXT_WORD
317,917,Directed,8030,NEXT_WORD,,1,NEXT_WORD
317,1228,Directed,7964,NEXT_WORD,,1,NEXT_WORD
317,826,Directed,7815,NEXT_WORD,,1,NEXT_WORD
317,938,Directed,7811,NEXT_WORD,,1,NEXT_WORD
317,1523,Directed,7807,NEXT_WORD,,1,NEXT_WORD
317,1387,Directed,7666,NEXT_WORD,,1,NEXT_WORD
317,864,Directed,7610,NEXT_WORD,,1,NEXT_WORD
317,823,Directed,7581,NEXT_WORD,,1,NEXT_WORD
317,319,Directed,7382,NEXT_WORD,,1,NEXT_WORD
317,2184,Directed,7231,NEXT_WORD,,1,NEXT_WORD
317,410,Directed,7178,NEXT_WORD,,1,NEXT_WORD
317,507,Directed,7085,NEXT_WORD,,1,NEXT_WORD
317,1021,Directed,6927,NEXT_WORD,,1,NEXT_WORD
317,2115,Directed,6779,NEXT_WORD,,1,NEXT_WORD
317,1212,Directed,6771,NEXT_WORD,,1,NEXT_WORD
317,1964,Directed,6073,NEXT_WORD,,1,NEXT_WORD
317,1364,Directed,5682,NEXT_WORD,,1,NEXT_WORD
317,721,Directed,5589,NEXT_WORD,,1,NEXT_WORD
317,1848,Directed,5517,NEXT_WORD,,1,NEXT_WORD
317,1792,Directed,5318,NEXT_WORD,,1,NEXT_WORD
317,1155,Directed,5156,NEXT_WORD,,1,NEXT_WORD
317,1039,Directed,4915,NEXT_WORD,,1,NEXT_WORD
317,1583,Directed,4329,NEXT_WORD,,1,NEXT_WORD
317,512,Directed,3991,NEXT_WORD,,1,NEXT_WORD
317,1295,Directed,3816,NEXT_WORD,,1,NEXT_WORD
317,1384,Directed,3543,NEXT_WORD,,1,NEXT_WORD
317,1029,Directed,3228,NEXT_WORD,,1,NEXT_WORD
317,1297,Directed,3222,NEXT_WORD,,1,NEXT_WORD
317,318,Directed,91,NEXT_WORD,,1,NEXT_WORD
317,580,Directed,677,NEXT_WORD,,1,NEXT_WORD
317,591,Directed,703,NEXT_WORD,,1,NEXT_WORD
317,705,Directed,977,NEXT_WORD,,1,NEXT_WORD
317,766,Directed,1140,NEXT_WORD,,1,NEXT_WORD
317,767,Directed,1142,NEXT_WORD,,1,NEXT_WORD
317,405,Directed,1265,NEXT_WORD,,1,NEXT_WORD
317,413,Directed,1302,NEXT_WORD,,1,NEXT_WORD
317,824,Directed,1325,NEXT_WORD,,1,NEXT_WORD
317,531,Directed,1543,NEXT_WORD,,1,NEXT_WORD
317,595,Directed,1666,NEXT_WORD,,1,NEXT_WORD
317,749,Directed,2293,NEXT_WORD,,1,NEXT_WORD
317,881,Directed,2324,NEXT_WORD,,1,NEXT_WORD
317,1074,Directed,2329,NEXT_WORD,,1,NEXT_WORD
317,3583,Directed,2203,NEXT_WORD,,1,NEXT_WORD
317,1122,Directed,2528,NEXT_WORD,,1,NEXT_WORD
317,1168,Directed,2682,NEXT_WORD,,1,NEXT_WORD
317,604,Directed,2691,NEXT_WORD,,1,NEXT_WORD
317,1044,Directed,2748,NEXT_WORD,,1,NEXT_WORD
317,480,Directed,2940,NEXT_WORD,,1,NEXT_WORD
317,884,Directed,3055,NEXT_WORD,,1,NEXT_WORD
317,1277,Directed,3140,NEXT_WORD,,1,NEXT_WORD
317,1103,Directed,3148,NEXT_WORD,,1,NEXT_WORD
1610,317,Directed,16880,NEXT_WORD,,1,NEXT_WORD
3119,317,Directed,16721,NEXT_WORD,,1,NEXT_WORD
3464,317,Directed,16288,NEXT_WORD,,1,NEXT_WORD
1032,317,Directed,16189,NEXT_WORD,,1,NEXT_WORD
2777,317,Directed,15950,NEXT_WORD,,1,NEXT_WORD
1486,317,Directed,15503,NEXT_WORD,,1,NEXT_WORD
3350,317,Directed,15415,NEXT_WORD,,1,NEXT_WORD
3343,317,Directed,15264,NEXT_WORD,,1,NEXT_WORD
2552,317,Directed,15236,NEXT_WORD,,1,NEXT_WORD
3332,317,Directed,15201,NEXT_WORD,,1,NEXT_WORD
3221,317,Directed,15079,NEXT_WORD,,1,NEXT_WORD
2140,317,Directed,14888,NEXT_WORD,,1,NEXT_WORD
697,317,Directed,14892,NEXT_WORD,,1,NEXT_WORD
789,317,Directed,14864,NEXT_WORD,,1,NEXT_WORD
1868,317,Directed,14764,NEXT_WORD,,1,NEXT_WORD
3300,317,Directed,14740,NEXT_WORD,,1,NEXT_WORD
1811,317,Directed,14223,NEXT_WORD,,1,NEXT_WORD
800,317,Directed,14057,NEXT_WORD,,1,NEXT_WORD
768,317,Directed,13870,NEXT_WORD,,1,NEXT_WORD
1949,317,Directed,13849,NEXT_WORD,,1,NEXT_WORD
2618,317,Directed,13840,NEXT_WORD,,1,NEXT_WORD
1914,317,Directed,13699,NEXT_WORD,,1,NEXT_WORD
3165,317,Directed,13689,NEXT_WORD,,1,NEXT_WORD
2513,317,Directed,13490,NEXT_WORD,,1,NEXT_WORD
881,317,Directed,13483,NEXT_WORD,,1,NEXT_WORD
566,317,Directed,13442,NEXT_WORD,,1,NEXT_WORD
2372,317,Directed,13422,NEXT_WORD,,1,NEXT_WORD
2617,317,Directed,13366,NEXT_WORD,,1,NEXT_WORD
3112,317,Directed,13304,NEXT_WORD,,1,NEXT_WORD
948,317,Directed,13298,NEXT_WORD,,1,NEXT_WORD
478,317,Directed,13073,NEXT_WORD,,1,NEXT_WORD
3028,317,Directed,12786,NEXT_WORD,,1,NEXT_WORD
1776,317,Directed,12606,NEXT_WORD,,1,NEXT_WORD
692,317,Directed,12587,NEXT_WORD,,1,NEXT_WORD
2938,317,Directed,12375,NEXT_WORD,,1,NEXT_WORD
787,317,Directed,12167,NEXT_WORD,,1,NEXT_WORD
446,317,Directed,12144,NEXT_WORD,,1,NEXT_WORD
754,317,Directed,11510,NEXT_WORD,,1,NEXT_WORD
865,317,Directed,11488,NEXT_WORD,,1,NEXT_WORD
2024,317,Directed,11094,NEXT_WORD,,1,NEXT_WORD
2720,317,Directed,10635,NEXT_WORD,,1,NEXT_WORD
1015,317,Directed,10237,NEXT_WORD,,1,NEXT_WORD
917,317,Directed,10231,NEXT_WORD,,1,NEXT_WORD
1021,317,Directed,9936,NEXT_WORD,,1,NEXT_WORD
1417,317,Directed,9776,NEXT_WORD,,1,NEXT_WORD
447,317,Directed,9753,NEXT_WORD,,1,NEXT_WORD
1578,317,Directed,9686,NEXT_WORD,,1,NEXT_WORD
1576,317,Directed,9595,NEXT_WORD,,1,NEXT_WORD
1374,317,Directed,9593,NEXT_WORD,,1,NEXT_WORD
1301,317,Directed,9565,NEXT_WORD,,1,NEXT_WORD
2573,317,Directed,9553,NEXT_WORD,,1,NEXT_WORD
826,317,Directed,9549,NEXT_WORD,,1,NEXT_WORD
318,317,Directed,9479,NEXT_WORD,,1,NEXT_WORD
618,317,Directed,9441,NEXT_WORD,,1,NEXT_WORD
1974,317,Directed,9364,NEXT_WORD,,1,NEXT_WORD
1637,317,Directed,9347,NEXT_WORD,,1,NEXT_WORD
2404,317,Directed,8940,NEXT_WORD,,1,NEXT_WORD
705,317,Directed,8899,NEXT_WORD,,1,NEXT_WORD
1420,317,Directed,8536,NEXT_WORD,,1,NEXT_WORD
1212,317,Directed,8304,NEXT_WORD,,1,NEXT_WORD
569,317,Directed,8200,NEXT_WORD,,1,NEXT_WORD
1062,317,Directed,8029,NEXT_WORD,,1,NEXT_WORD
2288,317,Directed,7813,NEXT_WORD,,1,NEXT_WORD
2287,317,Directed,7809,NEXT_WORD,,1,NEXT_WORD
449,317,Directed,7806,NEXT_WORD,,1,NEXT_WORD
578,317,Directed,7773,NEXT_WORD,,1,NEXT_WORD
2268,317,Directed,7671,NEXT_WORD,,1,NEXT_WORD
2267,317,Directed,7664,NEXT_WORD,,1,NEXT_WORD
1014,317,Directed,7662,NEXT_WORD,,1,NEXT_WORD
634,317,Directed,7604,NEXT_WORD,,1,NEXT_WORD
2255,317,Directed,7579,NEXT_WORD,,1,NEXT_WORD
2151,317,Directed,7494,NEXT_WORD,,1,NEXT_WORD
2236,317,Directed,7462,NEXT_WORD,,1,NEXT_WORD
1084,317,Directed,7177,NEXT_WORD,,1,NEXT_WORD
2167,317,Directed,7083,NEXT_WORD,,1,NEXT_WORD
799,317,Directed,6926,NEXT_WORD,,1,NEXT_WORD
2095,317,Directed,6777,NEXT_WORD,,1,NEXT_WORD
1963,317,Directed,6071,NEXT_WORD,,1,NEXT_WORD
879,317,Directed,5587,NEXT_WORD,,1,NEXT_WORD
1847,317,Directed,5515,NEXT_WORD,,1,NEXT_WORD
1841,317,Directed,5486,NEXT_WORD,,1,NEXT_WORD
1820,317,Directed,5416,NEXT_WORD,,1,NEXT_WORD
1791,317,Directed,5316,NEXT_WORD,,1,NEXT_WORD
1692,317,Directed,4913,NEXT_WORD,,1,NEXT_WORD
615,317,Directed,4328,NEXT_WORD,,1,NEXT_WORD
1440,317,Directed,4303,NEXT_WORD,,1,NEXT_WORD
1453,317,Directed,3990,NEXT_WORD,,1,NEXT_WORD
1472,317,Directed,3882,NEXT_WORD,,1,NEXT_WORD
1455,317,Directed,3814,NEXT_WORD,,1,NEXT_WORD
1434,317,Directed,3825,NEXT_WORD,,1,NEXT_WORD
531,317,Directed,3798,NEXT_WORD,,1,NEXT_WORD
963,317,Directed,3594,NEXT_WORD,,1,NEXT_WORD
487,317,Directed,3584,NEXT_WORD,,1,NEXT_WORD
1296,317,Directed,3220,NEXT_WORD,,1,NEXT_WORD
558,317,Directed,628,NEXT_WORD,,1,NEXT_WORD
575,317,Directed,665,NEXT_WORD,,1,NEXT_WORD
579,317,Directed,675,NEXT_WORD,,1,NEXT_WORD
590,317,Directed,701,NEXT_WORD,,1,NEXT_WORD
507,317,Directed,976,NEXT_WORD,,1,NEXT_WORD
765,317,Directed,1138,NEXT_WORD,,1,NEXT_WORD
412,317,Directed,1264,NEXT_WORD,,1,NEXT_WORD
576,317,Directed,1301,NEXT_WORD,,1,NEXT_WORD
823,317,Directed,1323,NEXT_WORD,,1,NEXT_WORD
758,317,Directed,1639,NEXT_WORD,,1,NEXT_WORD
979,317,Directed,1906,NEXT_WORD,,1,NEXT_WORD
413,317,Directed,1981,NEXT_WORD,,1,NEXT_WORD
506,317,Directed,2187,NEXT_WORD,,1,NEXT_WORD
1079,317,Directed,2303,NEXT_WORD,,1,NEXT_WORD
3567,317,Directed,2292,NEXT_WORD,,1,NEXT_WORD
629,317,Directed,2328,NEXT_WORD,,1,NEXT_WORD
1170,317,Directed,2689,NEXT_WORD,,1,NEXT_WORD
1180,317,Directed,2746,NEXT_WORD,,1,NEXT_WORD
